,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max.1,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp.1,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
36,240,41,88,0.466,14,37,0.378,12,18,0.667,6,34,40,27,11,10,17,18,108,,0.563,0.545,0.42,0.205,14.6,72.3,45.5,65.9,10.7,19.2,15.1,100,105.2,101.3,,,8,17,0.75,4,9,0.667,5,6,1,3,12,13,7,5,3,9,4,22,8,0.922,1,0.75,0.5,10,42.5,24.6,52.1,6.7,15.3,35.1,31.2,134,113,DEN,108,0,1,240,240,37,85,0.435,10,33,0.303,20,24,0.833,13,35,48,22,13,7,20,23,104,,0.544,0.494,0.388,0.282,27.7,85.4,54.5,59.5,12.7,13.7,17.3,100,101.3,105.2,,,9,17,0.692,3,10,1,6,6,1,3,7,9,5,5,3,5,5,21,6,0.773,0.833,0.667,0.667,19,28.8,17.3,29.8,7.6,9.9,34,33.9,156,113,MEM,104,1,2024,10/27/23,TRUE
37,265,52,100,0.52,8,32,0.25,10,20,0.5,11,32,43,30,7,2,18,26,122,,0.561,0.56,0.32,0.2,26.2,72.7,50,57.7,6.3,3.8,14.2,100,110,113.6,,,11,20,1,2,10,0.5,2,6,1,6,8,14,12,3,1,6,6,25,4,1.025,1,1,0.5,18.6,33.3,21.2,35.6,10.3,8,50,27.3,212,121,HOU,122,0,1,265,265,46,94,0.489,13,42,0.31,21,28,0.75,12,31,43,32,11,4,18,17,126,,0.593,0.559,0.447,0.298,27.3,73.8,50,69.6,9.9,5.9,14.5,100,113.6,110,,,8,19,0.714,4,7,1,8,11,1,5,7,12,8,4,3,4,5,25,14,1,1,0.857,0.846,19.4,33.9,24.8,48.6,4.9,7.5,30,36.5,223,119,SAS,126,1,2024,10/27/23,FALSE
38,240,38,92,0.413,12,45,0.267,17,23,0.739,8,40,48,20,10,8,13,16,105,,0.514,0.478,0.489,0.25,16.3,87,50.5,52.6,9.5,13.1,11.3,100,99.6,102.5,,,15,27,0.556,4,11,0.4,9,11,0.818,4,13,15,5,3,2,5,4,43,8,0.675,0.667,0.833,0.5,14,40,22.4,47.1,3.4,8,25,36.4,123,112,CLE,105,1,0,240,240,40,87,0.46,13,26,0.5,15,19,0.789,6,41,47,22,8,10,18,17,108,,0.566,0.534,0.299,0.218,13,83.7,49.5,55,7.6,21.3,15.9,100,102.5,99.6,,,15,26,1,3,7,1,4,6,1,3,12,13,6,5,7,5,5,34,12,1.5,1.5,1,0.5,8.1,38.1,21.3,26.7,6.3,23.2,100,37.5,186,110,OKC,108,0,2024,10/27/23,FALSE
39,240,33,88,0.375,7,28,0.25,26,34,0.765,11,30,41,20,13,7,18,23,99,,0.481,0.415,0.318,0.386,21.2,71.4,43.6,60.6,12.2,12.1,14.9,100,92.8,104,,,8,20,0.5,2,7,0.5,10,12,1,3,8,9,9,3,2,4,6,20,1,0.714,0.538,0.412,2.5,8.9,27,13.9,48,6.4,10.1,51.5,31.5,120,111,CHO,99,1,0,240,240,40,88,0.455,10,30,0.333,21,25,0.84,12,41,53,28,7,6,23,29,111,,0.561,0.511,0.341,0.284,28.6,78.8,56.4,70,6.6,10,18.9,100,104,92.8,,,8,14,0.875,3,7,0.429,11,12,1,6,11,17,6,2,2,5,6,24,28,0.875,0.875,1,1.2,19.7,29.1,24.9,37.2,4,4.6,50,33.5,171,98,DET,111,0,2024,10/27/23,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,240,40,87,0.46,9,33,0.273,7,16,0.438,4,39,43,20,8,5,13,22,96,,0.51,0.511,0.379,0.184,8.5,70.9,42.2,50,8,9.4,12.1,100,96.2,87.2,,,12,17,0.706,3,8,1,3,4,1,2,5,7,7,4,3,5,5,26,18,0.833,0.833,1,0.571,6.4,70.8,38.2,33.8,6.5,9.9,33.7,33.4,132,94,NOP,96,1,0,240,240,33,90,0.367,7,37,0.189,14,18,0.778,16,43,59,19,7,3,18,17,87,,0.444,0.406,0.411,0.2,29.1,91.5,57.8,57.6,7,5.6,15.5,100,87.2,96.2,,,7,16,1,1,6,1,5,6,1,10,12,15,5,2,2,8,4,18,10,1.5,1.5,1,4,30.1,67.8,31.3,80.3,10.6,6.1,33.5,29.3,284,101,NYK,87,0,2024,10/28/23,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,240,35,87,0.402,12,38,0.316,8,14,0.571,9,33,42,24,6,1,14,12,90,,0.483,0.471,0.437,0.161,18.4,82.5,47.2,68.6,6.3,1.9,13.1,100,93.9,110.6,,,8,23,0.75,4,10,1,5,10,1,3,11,11,7,2,1,4,4,22,7,0.875,0.875,0.833,0.714,25.4,62.6,28.1,32.3,3.9,26,42.9,66.1,174,117,MIA,90,0,1,240,240,44,86,0.512,12,34,0.353,6,8,0.75,7,40,47,30,9,3,14,17,106,,0.592,0.581,0.395,0.093,17.5,81.6,52.8,68.2,9.4,6.1,13.5,100,110.6,93.9,,,10,15,0.833,4,7,1,2,2,1,4,10,14,7,2,2,3,3,25,30,0.872,0.857,1,0.333,15.6,51.1,28.1,88.6,4.4,51.1,50,48.4,163,103,MIN,106,1,2024,10/28/23,FALSE
